slug,label,category,sic_codes,is_active,is_featured,display_order,description
solicitors,Solicitors,Professional Services,"69101,69102,69109",true,true,10,"Legal services including litigation, commercial, family, conveyancing"
accountants,Accountants,Professional Services,"69201,69202",true,true,20,"Accounting, bookkeeping, auditing and tax consultancy"
estate-agents,Estate Agents,Professional Services,"68310",true,true,30,"Residential and commercial estate agents, letting agents"
dental-practices,Dental Practices,Professional Services,"86230",true,true,40,"General dentistry, orthodontics, cosmetic dentistry"
independent-financial-advisors,Independent Financial Advisors,Professional Services,"66190,66290",false,false,50,"IFAs, mortgage advisors, wealth management"
insurance-brokers,Insurance Brokers,Professional Services,"66220",false,false,60,"Commercial and personal insurance brokerage"
architects,Architects,Professional Services,"71111",false,false,70,"Architectural practice, building design"
chartered-surveyors,Chartered Surveyors,Professional Services,"71122",false,false,80,"Quantity surveyors, building surveyors, valuation"
veterinary-practices,Veterinary Practices,Professional Services,"75000",false,false,90,"Small animal, equine, farm veterinary services"
optometrists,Optometrists,Professional Services,"86901",false,false,100,"Eye care, optical services, contact lens practitioners"
private-medical-practices,Private Medical Practices,Professional Services,"86210,86220",false,false,110,"Private GP, specialists, physiotherapy clinics"
management-consultants,Management Consultants,Professional Services,"70229",false,false,120,"Business consulting, strategy advisory, operational improvement"
marketing-pr-agencies,Marketing and PR Agencies,Professional Services,"70210,73110",false,false,130,"Marketing strategy, public relations, brand consultancy"
recruitment-agencies,Recruitment Agencies,Professional Services,"78200",false,false,140,"Executive search, temporary staffing, specialist recruitment"
chartered-engineers,Chartered Engineers,Professional Services,"71121",false,false,150,"Civil, structural, mechanical, electrical engineering consultancy"
plumbers,Plumbers,Home Services,"43220",false,false,200,"Residential and commercial plumbing and heating"
electricians,Electricians,Home Services,"43210",false,false,210,"Electrical installation, testing, inspection"
roofers,Roofers,Home Services,"43910",false,false,220,"Roofing, flat roofing, slate and tile"
builders,Builders,Home Services,"41201,41202",false,false,230,"General building contractors, extensions, renovations"
carpenters,Carpenters and Joiners,Home Services,"43320",false,false,240,"Carpentry, joinery, bespoke woodwork"
painters-decorators,Painters and Decorators,Home Services,"43341",false,false,250,"Interior and exterior decorating, wallpapering"
tilers,Tilers,Home Services,"43330",false,false,260,"Wall and floor tiling, natural stone"
glaziers,Glaziers,Home Services,"43342",false,false,270,"Glazing, windows, conservatories"
gardeners-landscapers,Gardeners and Landscapers,Home Services,"81300",false,false,280,"Garden design, landscaping, maintenance"
kitchen-bathroom-fitters,Kitchen and Bathroom Fitters,Home Services,"43320",false,false,290,"Kitchen and bathroom installation"
cleaners-domestic,Domestic Cleaners,Home Services,"81210",false,false,300,"Residential cleaning services"
locksmiths,Locksmiths,Home Services,"43290",false,false,310,"Locksmithing, security systems, access control"
removals,Removals and Man with Van,Home Services,"49420",false,false,320,"Domestic and office removals"
pest-control,Pest Control,Home Services,"81291",false,false,330,"Pest control, rodent control, wildlife management"
restaurants,Restaurants,Hospitality,"56101",false,false,400,"Table service restaurants, fine dining, casual dining"
cafes,Cafés and Coffee Shops,Hospitality,"56102",false,false,410,"Coffee shops, tea rooms, independent cafés"
pubs-bars,Pubs and Bars,Hospitality,"56301",false,false,420,"Public houses, wine bars, cocktail bars"
hotels,Hotels,Hospitality,"55100",false,false,430,"Hotels, boutique hotels, country houses"
bed-breakfast,Bed and Breakfast,Hospitality,"55200",false,false,440,"B&Bs, guesthouses, self-catering"
wedding-venues,Wedding Venues,Hospitality,"93290",false,false,450,"Wedding venues, event spaces, marquee hire"
catering-services,Catering Services,Hospitality,"56210",false,false,460,"Event catering, corporate catering, hog roasts"
independent-retailers,Independent Retailers,Retail,"47910",false,false,500,"Small independent retail shops, general"
jewellers,Jewellers,Retail,"47770",false,false,510,"Jewellery retail, watch repair, goldsmiths"
clothing-boutiques,Clothing Boutiques,Retail,"47710",false,false,520,"Independent clothing, fashion boutiques"
bookshops,Bookshops,Retail,"47610",false,false,530,"Independent bookshops, second-hand bookshops"
antiques-dealers,Antiques Dealers,Retail,"47791",false,false,540,"Antiques, vintage, reclamation"
speciality-food-shops,Speciality Food Shops,Retail,"47210,47220,47230",false,false,550,"Delicatessens, butchers, fishmongers, farm shops"
garden-centres,Garden Centres,Retail,"47761",false,false,560,"Garden centres, nurseries, plant retail"
art-galleries,Art Galleries,Retail,"47782",false,false,570,"Independent art galleries, print shops"
personal-trainers,Personal Trainers,Health and Beauty,"93130",false,false,600,"1:1 personal training, small group fitness"
yoga-pilates-studios,Yoga and Pilates Studios,Health and Beauty,"93130",false,false,610,"Yoga studios, pilates studios, barre classes"
chiropractors,Chiropractors,Health and Beauty,"86909",false,false,620,"Chiropractic clinics, spinal care"
osteopaths,Osteopaths,Health and Beauty,"86909",false,false,630,"Osteopathic clinics, musculoskeletal therapy"
physiotherapy-clinics,Physiotherapy Clinics,Health and Beauty,"86909",false,false,640,"Private physiotherapy, sports therapy"
beauty-salons,Beauty Salons,Health and Beauty,"96020",false,false,650,"Beauty treatments, facials, waxing, nails"
hair-salons,Hair Salons,Health and Beauty,"96020",false,false,660,"Hair salons, colourists, hairdressing"
barbers,Barbers,Health and Beauty,"96020",false,false,670,"Traditional barbershops, men's grooming"
car-dealers,Car Dealers,Trades and Commercial,"45112",false,false,700,"Used and new car dealers, specialist car dealers"
garages-mot-centres,Garages and MOT Centres,Trades and Commercial,"45200",false,false,710,"Mechanical repair, MOT testing, servicing"
transport-logistics,Transport and Logistics,Trades and Commercial,"49410",false,false,720,"Road freight, courier services, logistics SMEs"
manufacturing-sme,Manufacturing (SME),Trades and Commercial,"10000-33000",false,false,730,"Small manufacturing, fabrication, workshops"
commercial-cleaning,Commercial Cleaning,Trades and Commercial,"81220",false,false,740,"Commercial cleaning, office cleaning contractors"
photography-studios,Photography Studios,Trades and Commercial,"74201",false,false,750,"Commercial and portrait photography, wedding photographers"
videography-services,Videography Services,Trades and Commercial,"59112",false,false,760,"Video production, wedding videography, corporate video"
